"id","AREA_5000","CIUDAD_AUTO","PROVINCIA","REGION","ZONA","VIVIENDA","PERIODO","TIPO_VI","JEFEHOGAR"
"22663","Urbano","NA","Pichincha","Sierra","1","4","Dec-13","Casa / villa","NA"
"22664","Urbano","NA","Pichincha","Sierra","1","5","Dec-13","Departamento en casa o edificio","NA"
"22665","Urbano","NA","Pichincha","Sierra","1","6","Dec-13","Departamento en casa o edificio","NA"
"22666","Urbano","NA","Pichincha","Sierra","1","7","Dec-13","Casa / villa","NA"
"22667","Urbano","NA","Pichincha","Sierra","1","8","Dec-13","Casa / villa","Jefe(a) y cónyuge"
"22668","Urbano","NA","Pichincha","Sierra","1","9","Dec-13","Casa / villa","NA"
"22669","Urbano","NA","Pichincha","Sierra","1","10","Dec-13","Casa / villa","NA"
"22670","Urbano","NA","Pichincha","Sierra","1","11","Dec-13","Casa / villa","NA"
"22671","Urbano","NA","Pichincha","Sierra","1","12","Dec-13","Casa / villa","Jefe de hogar"
"22672","Rural","NA","Pichincha","Sierra","999","1","Dec-13","Casa / villa","Jefe de hogar"
"22673","Rural","NA","Pichincha","Sierra","999","2","Dec-13","Casa / villa","NA"
"22674","Rural","NA","Pichincha","Sierra","999","3","Dec-13","Casa / villa","Jefe(a) y cónyuge"
"22675","Rural","NA","Pichincha","Sierra","999","4","Dec-13","Casa / villa","NA"
"22676","Rural","NA","Pichincha","Sierra","999","5","Dec-13","Casa / villa","NA"
"22677","Rural","NA","Pichincha","Sierra","999","6","Dec-13","Departamento en casa o edificio","NA"
"22678","Rural","NA","Pichincha","Sierra","999","7","Dec-13","Casa / villa","NA"
"22679","Rural","NA","Pichincha","Sierra","999","8","Dec-13","Casa / villa","Jefe(a) y cónyuge"
"22680","Rural","NA","Pichincha","Sierra","999","9","Dec-13","Departamento en casa o edificio","NA"
"22681","Rural","NA","Pichincha","Sierra","999","10","Dec-13","Casa / villa","Otros miembros del hogar"
"22682","Rural","NA","Pichincha","Sierra","999","11","Dec-13","Casa / villa","Jefe de hogar"
"22683","Rural","NA","Pichincha","Sierra","999","12","Dec-13","Casa / villa","NA"
"22684","Urbano","NA","Pichincha","Sierra","1","1","May-14","Departamento en casa o edificio","NA"
"22685","Urbano","NA","Pichincha","Sierra","1","2","May-14","Departamento en casa o edificio","NA"
"22686","Urbano","NA","Pichincha","Sierra","1","3","May-14","Departamento en casa o edificio","NA"
"22687","Urbano","NA","Pichincha","Sierra","1","4","May-14","Casa / villa","NA"
"22688","Urbano","NA","Pichincha","Sierra","1","5","May-14","Casa / villa","Jefe de hogar"
"22689","Urbano","NA","Pichincha","Sierra","1","6","May-14","Casa / villa","Jefe(a) y cónyuge"
"22690","Urbano","NA","Pichincha","Sierra","1","7","May-14","Casa / villa","Jefe de hogar"
"22691","Urbano","NA","Pichincha","Sierra","1","8","May-14","Casa / villa","Jefe(a) y cónyuge"
"22692","Urbano","NA","Pichincha","Sierra","1","9","May-14","Casa / villa","Jefe(a) y cónyuge"
"22693","Urbano","NA","Pichincha","Sierra","1","10","May-14","Mediagua","NA"
"22694","Urbano","NA","Pichincha","Sierra","1","11","May-14","Mediagua","NA"
"22695","Urbano","NA","Pichincha","Sierra","1","12","May-14","Casa / villa","Jefe(a) y cónyuge"
"22696","Urbano","NA","Pichincha","Sierra","3","1","Aug-14","Cuarto en casa de inquilinato","NA"
"22697","Urbano","NA","Pichincha","Sierra","3","2","Aug-14","Departamento en casa o edificio","NA"
"22698","Urbano","NA","Pichincha","Sierra","3","3","Aug-14","Departamento en casa o edificio","NA"
"22699","Urbano","NA","Pichincha","Sierra","3","4","Aug-14","Cuarto en casa de inquilinato","NA"
"22700","Urbano","NA","Pichincha","Sierra","3","5","Aug-14","Mediagua","Jefe(a) y cónyuge"
"22701","Urbano","NA","Pichincha","Sierra","3","6","Aug-14","Casa / villa","Jefe de hogar"
"22702","Urbano","NA","Pichincha","Sierra","3","7","Aug-14","Cuarto en casa de inquilinato","NA"
"22703","Urbano","NA","Pichincha","Sierra","3","8","Aug-14","Casa / villa","Jefe(a) y cónyuge"
"22704","Urbano","NA","Pichincha","Sierra","3","9","Aug-14","Casa / villa","Jefe(a) y cónyuge"
"22705","Urbano","NA","Pichincha","Sierra","3","10","Aug-14","Casa / villa","Jefe de hogar"
"22706","Urbano","NA","Pichincha","Sierra","3","11","Aug-14","Cuarto en casa de inquilinato","NA"
"22707","Urbano","NA","Pichincha","Sierra","3","12","Aug-14","Casa / villa","Jefe(a) y cónyuge"
"22708","Rural","NA","Pichincha","Sierra","999","1","Jan-14","Casa / villa","Jefe(a) y cónyuge"
"22709","Rural","NA","Pichincha","Sierra","999","2","Jan-14","Casa / villa","Cónyuge"
"22710","Rural","NA","Pichincha","Sierra","999","3","Jan-14","Casa / villa","Jefe de hogar"
"22711","Rural","NA","Pichincha","Sierra","999","4","Jan-14","Mediagua","Jefe de hogar"
"22712","Rural","NA","Pichincha","Sierra","999","5","Jan-14","Casa / villa","Cónyuge"
"22713","Rural","NA","Pichincha","Sierra","999","6","Jan-14","Cuarto en casa de inquilinato","NA"
"22714","Rural","NA","Pichincha","Sierra","999","7","Jan-14","Casa / villa","Jefe de hogar"
"22715","Rural","NA","Pichincha","Sierra","999","8","Jan-14","Casa / villa","NA"
"22716","Rural","NA","Pichincha","Sierra","999","9","Jan-14","Casa / villa","Otros miembros del hogar"
"22717","Rural","NA","Pichincha","Sierra","999","10","Jan-14","Casa / villa","Jefe de hogar"
"22718","Rural","NA","Pichincha","Sierra","999","11","Jan-14","Casa / villa","Jefe de hogar"
"22719","Rural","NA","Pichincha","Sierra","999","12","Jan-14","Casa / villa","Jefe(a) y cónyuge"
"22720","Rural","NA","Pichincha","Sierra","999","1","May-14","Casa / villa","NA"
"22721","Rural","NA","Pichincha","Sierra","999","2","May-14","Cuarto en casa de inquilinato","NA"
"22722","Rural","NA","Pichincha","Sierra","999","3","May-14","Casa / villa","NA"
"22723","Rural","NA","Pichincha","Sierra","999","4","May-14","Mediagua","NA"
"22724","Rural","NA","Pichincha","Sierra","999","5","May-14","Casa / villa","Jefe de hogar"
"22725","Rural","NA","Pichincha","Sierra","999","6","May-14","Casa / villa","NA"
"22726","Rural","NA","Pichincha","Sierra","999","7","May-14","Casa / villa","NA"
"22727","Rural","NA","Pichincha","Sierra","999","8","May-14","Cuarto en casa de inquilinato","Jefe de hogar"
"22728","Rural","NA","Pichincha","Sierra","999","9","May-14","Casa / villa","NA"
"22729","Rural","NA","Pichincha","Sierra","999","10","May-14","Casa / villa","Jefe de hogar"
"22730","Rural","NA","Pichincha","Sierra","999","11","May-14","Casa / villa","Jefe(a) y cónyuge"
"22731","Rural","NA","Pichincha","Sierra","999","12","May-14","Mediagua","NA"
"22732","Rural","NA","Pichincha","Sierra","999","1","May-14","Casa / villa","NA"
"22733","Rural","NA","Pichincha","Sierra","999","2","May-14","Cuarto en casa de inquilinato","NA"
